# i	j	label_i	pdb_i	label_j	pdb_j	J_Hz
0	1	H26	H1x	H27	H2x	4.744219
14	19	H40	H15x	H45	H20x	-0.168739
14	20	H40	H15x	H46	H21x	-0.155851
14	21	H40	H15x	H47	H22x	-0.230611
15	16	H41	H16x	H42	H17x	4.854459
15	17	H41	H16x	H43	H18x	-0.242710
15	18	H41	H16x	H44	H19x	-0.239804
15	19	H41	H16x	H45	H20x	-0.241428
15	20	H41	H16x	H46	H21x	-0.204635
15	21	H41	H16x	H47	H22x	-0.159291
16	17	H42	H17x	H43	H18x	0.359243
16	18	H42	H17x	H44	H19x	-0.309226
16	19	H42	H17x	H45	H20x	-0.410652
16	20	H42	H17x	H46	H21x	-0.247944
16	21	H42	H17x	H47	H22x	-0.169375
17	18	H43	H18x	H44	H19x	-15.787381
17	19	H43	H18x	H45	H20x	3.968330
17	20	H43	H18x	H46	H21x	0.320094
17	21	H43	H18x	H47	H22x	1.708992
18	19	H44	H19x	H45	H20x	4.873453
18	20	H44	H19x	H46	H21x	-0.120572
18	21	H44	H19x	H47	H22x	-0.166322
19	20	H45	H20x	H46	H21x	-0.171791
19	21	H45	H20x	H47	H22x	-2.657428
20	21	H46	H21x	H47	H22x	-12.621114
